OFFICE;DAILY ACTIVITY
Banda Aceh;  
Batam;  
Bengkulu;  
Jambi;  
KCP Arga Makmur;  
KCP Bandar Jaya;  
KCP Baturaja;  
KCP Binjai;  
KCP Bukittinggi;  
KCP Curup;7
KCP Enim;5
KCP Kampar;  
KCP Kisaran;  
KCP Koba;  
KCP Kotabumi Lampung;6
KCP Lhokseumawe;1
KCP Manna Bengkulu;1
KCP Metro Lampung;  
KCP Muara Bungo;  
KCP Panyabungan;11
KCP Payakumbuh;  
KCP Plaju;  
KCP Serdang;  
KCP Solok;  
KCP Stabat;  
KCP Sukaramai;  
KCP Sungailiat;  
KCP Tanjung Pandan;  
KCP ZA Pagar Alam Lampung;4
Lampung;1
Langsa;1
Medan Balaikota;  
Medan Baru;  
Padang;  
Padang Sidempuan;  
Palembang;  
Pangkal Pinang;  
Pekanbaru;  
Pematang Siantar;  
Tanjung Pinang;  

