OFFICE;DAILY ACTIVITY
Banda Aceh;
Batam;
Bengkulu;2
Jambi;
KCP Arga Makmur;1
KCP Bandar Jaya;
KCP Baturaja;
KCP Binjai;
KCP Bukittinggi;
KCP Curup;13
KCP Enim;16
KCP Kampar;1
KCP Kisaran;
KCP Koba;
KCP Kotabumi Lampung;11
KCP Lhokseumawe;1
KCP Manna Bengkulu;2
KCP Metro Lampung;1
KCP Muara Bungo;
KCP Panyabungan;23
KCP Payakumbuh;
KCP Plaju;
KCP Serdang;1
KCP Solok;
KCP Stabat;
KCP Sukaramai;
KCP Sungailiat;
KCP Tanjung Pandan;
KCP ZA Pagar Alam Lampung;6
Lampung;2
Langsa;3
Medan Balaikota;1
Medan Baru;1
Padang;
Padang Sidempuan;
Palembang;1
Pangkal Pinang;
Pekanbaru;
Pematang Siantar;2
Tanjung Pinang;

